A estymowane,"[[0.4790708082984807, 0], [0, 0.2513309615198307]]"
B estymowane,"[[1.0345367941642634, 0], [0, 1.0031824501295645]]"
U idealne,"[[2.01415433]
 [2.98517598]]"
Optimal point:,[0.64992307 0.76      ]
Minimum value:,16.604371341160423
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.6331856 0.774    ]
Minimum value:,16.643371436218345
A estymowane,"[[0.4911536834449368, 0], [0, 0.25976359277548555]]"
B estymowane,"[[1.0125655857708225, 0], [0, 1.0096736939723963]]"
U idealne,"[[2.01012684]
 [2.93257678]]"
Optimal point:,[0.64044984 0.768     ]
Minimum value:,16.468221942634145
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.6331856 0.774    ]
Minimum value:,16.643371436218345
A estymowane,"[[0.5189258185787464, 0], [0, 0.27034877477395813]]"
B estymowane,"[[1.0050774996165481, 0], [0, 0.9800340682539215]]"
U idealne,"[[2.]
 [3.]]"
A estymowane,"[[0.50817519916933, 0], [0, 0.2902635550907986]]"
B estymowane,"[[0.9854001239150989, 0], [0, 0.950285986929118]]"
U idealne,"[[2.]
 [3.]]"
A estymowane,"[[0.5169241239194138, 0], [0, 0.23825999370568818]]"
B estymowane,"[[1.0099338509484994, 0], [0, 0.9922207170581854]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0. 1.]
Minimum value:,19.91836734693878
A estymowane,"[[0.5277487930068876, 0], [0, 0.24769942355517616]]"
B estymowane,"[[0.96729938553977, 0], [0, 0.9916318630443488]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0. 1.]
Minimum value:,19.91836734693878
A estymowane,"[[0.49206514760322406, 0], [0, 0.2820350318861351]]"
B estymowane,"[[0.9920646641831965, 0], [0, 0.9696703111777918]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0. 1.]
Minimum value:,19.91836734693878
A estymowane,"[[0.4803036218016854, 0], [0, 0.25724622465866265]]"
B estymowane,"[[1.022848918812509, 0], [0, 0.9773214672094466]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0. 1.]
Minimum value:,19.91836734693878
A estymowane,"[[0.4892587756586182, 0], [0, 0.263689166686079]]"
B estymowane,"[[0.9795356928685366, 0], [0, 0.9833293916906554]]"
U idealne,"[[2.]
 [3.]]"
A estymowane,"[[0.5157579867603221, 0], [0, 0.26895078608809087]]"
B estymowane,"[[0.976591968766285, 0], [0, 0.972696649099662]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.25 1.  ]
Minimum value:,17.637755102040813
A estymowane,"[[0.5170644624632486, 0], [0, 0.24117378812079515]]"
B estymowane,"[[1.0000964352379729, 0], [0, 0.9846979672452081]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.63172538 0.774     ]
Minimum value:,16.655282133687958
A estymowane,"[[0.5065103582382591, 0], [0, 0.2714426987587206]]"
B estymowane,"[[0.9910783903214888, 0], [0, 0.9637474974907922]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.61331534 0.778     ]
Minimum value:,16.766041070513964
A estymowane,"[[0.5041324708476598, 0], [0, 0.2673561927066217]]"
B estymowane,"[[0.9897635751410259, 0], [0, 0.96355990416316]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.63172538 0.774     ]
Minimum value:,16.655282133687958
A estymowane,"[[0.4915976506043336, 0], [0, 0.28241928244285086]]"
B estymowane,"[[1.0004767437028308, 0], [0, 0.9502203973049284]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.63291763 0.774     ]
Minimum value:,16.645556732099635
A estymowane,"[[0.5365277671600568, 0], [0, 0.28749693924293496]]"
B estymowane,"[[0.9634922032840629, 0], [0, 0.9418817214640871]]"
U idealne,"[[2.]
 [3.]]"
Optimal point:,[0.63172538 0.774     ]
Minimum value:,16.655282133687958
